Title,Inventor,Assignee,Application number,Publication number,Priority information,Publication date,Kind,Patent number,Patent office,Filing date,Publication year,Document type,Abstract,Designated states,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Field of search,IPC code,CPC code,Database,Copyright,Data Provider
"Wearable pet device with passive diffusion of chemical information composition","A·吉拉尔丁; GIRARDIN ANTOINE; P·蒙吉努; MONGINOUX PHILIPPE; C·勒让内; LEJEANNET C ¨; J·若利韦; DRIC ","维克公司; VECO","202180085775","CN116669712","FR 20013842 12/21/2020 FR 2013842 12/21/2020 EP 2021086599 12/17/2021 FR2013842 PCT/EP2021/086599 FR20200013842 WO2021EP86599 ","08/29/2023","A - Unexamined application for a patent for invention","116669712","CN","12/17/2021","2023","Patent application","本发明涉及能够被动扩散化学信息组合物的可穿戴宠物设备；这些舒缓性设备允许动物更好地处理产生压力的情况(分离情况、断奶、运输、对噪音、烟火的恐惧等)，并使它们更好地适应新情况。The present invention relates to a wearable pet device capable of passively diffusing a chemical information composition; these relief devices allow animals to better handle the conditions where pressure is generated (separation conditions, weaning, transportation, fear of noise, firework, etc.) and to better adapt them to new conditions.","","Diffusion","Animals - Intelligent systems - Wearable technology - Polymer matrix","Chemical information - Condition - Control agent - Diatomaceous earth - Fatty acid derivatives - Passive diffusions - Polymer matrices - Separation condition - Surrounding environment","205 Polymers and Polymer Science - 302 Thermodynamics and Heat Transfer - 715 Electronic Equipment, General Purpose and Industrial - 1101 Artificial Intelligence",,"A61K9/70","A61K9/70 - A61K47/32 - A61K47/02 - A01K27/01 - A61K35/02 - A61K35/12 - A01K15/00 - A01K13/03 - A61K31/232 - A61K31/23 - A61K31/231 - A61P25/22 - A61P25/24 - A61P43/00 - A61P25/00 - A01N37/06 - A01N37/02 - A61K9/07","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"PHOTONIC DEVICE FOR SIMULTANEOUS ACQUISITION OF SPECTROSCOPIC AND PHYSICO-CHEMICAL DATA OF AN ANALYTE, ASSOCIATED SYSTEM AND METHOD","IBRAHIMI, Yasmine; SANCHEZ, Dorian; MICHON, Jérôme ","INSPEK","EP25073028","WO2026082323","FR 24011357 10/18/2024 ","04/23/2026","A1 - Published application with search report","2026082323","WO","08/11/2025","2026","Patent application","Disclosed is a photonic device (100) comprising an optical source (110) that may be tunable or of fixed wavelength, an on-chip spectroscopic sensor (120), and an optical element (130) of variable spectral response. The optical source (110) generates an excitation signal that may be tunable or of fixed wavelength, the on-chip spectroscopic sensor (120) collects the spectroscopic signal scattered by the analyte, and the optical element (130) of variable spectral response removes the residual signal while modifying its spectral response depending on the physico-chemical parameters of the analyte. When the optical source (110) is tunable, it adjusts the wavelength of the excitation signal. When the optical source (110) is of fixed wavelength, the optical element (130) of variable spectral response is adjustable to maintain alignment. This configuration makes it possible to obtain a spectroscopic signal of interest and information on the properties of the analyte.Le dispositif photonique (100) comprend une source optique (110) qui peut être accordable ou à longueur d'onde fixe, un capteur spectroscopique sur puce (120) et un élément optique à réponse spectrale variable (130). La source optique (110) génère un signal d'excitation qui peut être accordable ou à longueur d'onde fixe, le capteur spectroscopique sur puce (120) collecte le signal spectroscopique diffusé par l'analyte, et l'élément optique à réponse spectrale variable (130) élimine le signal résiduel tout en modifiant sa réponse spectrale en fonction des paramètres physico-chimiques de l'analyte. Lorsque la source optique (110) est accordable, celle-ci ajuste la longueur d'onde du signal d'excitation. Lorsque la source optique (110) est à longueur d'onde fixe, l'élément optique à réponse spectrale variable (130) est ajustable pour maintenir l'alignement. Cette configuration permet d'obtenir un signal spectroscopique d'intérêt et des informations sur les propriétés de l'analyte.","",,,,,,"G01N21/65 - G01N21/64 - G01J3/44 - G01N21/77","","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"USE OF PSYCHOTROPIC DRUGS FOR THE TREATMENT OF CORONAVIRUS INFECTIONS","VILLOUTREIX, Bruno; BEAUNE, Philippe; LEBOYER, Marion; TAMOUZA, Ryad; KRISHNAMOORTHY, Rajagopal; CALVEZ, Vincent; MARCELIN, Anne-Geneviève ","INSTITUT NATIONAL DE LA SANTE & DE LA RECHERCHE MEDICALE; ASSISTANCE PUBLIQUE HOPITAUX DE PARIS APHP; SORBONNE UNIVERSITE; UNIVERSITE PARIS CITE; UNIVERSITE PARIS EST CRETEIL","21725548","EP4153158","EP 20305517 05/19/2020 EP 20306570 12/15/2020 EP 20305517 05/19/2020 EP 20306570 12/15/2020 EP 2021063113 05/18/2021 20305517 20306570 EP2021063113 EP20200305517 EP20200306570 WO2021EP63113 ","03/29/2023","A1 - Application published with search report","4153158","EP","05/18/2021","2023","Patent application","The coronavirus SARS-Cov-2 which started in Wuhan, China, in December 2019 induced a threat to global health. Patients with mental disorders were thought to be at increased risk of becoming infected for several reasons but very much to the inventors' surprise, these psychiatric units remained nearly empty during the lock-down period as if psychiatric patients were protected from SARS-Cov-2 infection. Thus the inventors mined the literature to identify approved drugs with in vitro antiviral activities with a special emphasis on psychotropic drugs and compared these molecules using chemoinformatics strategies to the drugs most commonly used in their psychiatric department. A large number of compounds were found to be cationic amphiphilic drugs (CADs) and as such tend to also be phospholipidosis inducers in vitro (PLD). Several molecules most commonly used in their department were also found to have in vitro antiviral activity and/or can be clustered with compounds with known in vitro antiviral activity. Thus, drugs most commonly used for mental disorders with known in vitro antiviral activities are often CADs. In silico and in vitro analyses of these compounds together with the observations made in the department strongly suggest that commonly used psychotropic drugs and some related anti-histamine agents used as anxiolytics should protect psychiatric patients from SARS-Cov-2 infection.","AL - AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MK - MT - NL - NO - PL - PT - RO - RS - SE - SI - SK - SM - TR - ","Molecules","Antiviral agents - Health risks - Coronavirus","Amphiphilic drugs - Antiviral activities - Cationics - Chemoinformatics - Coronaviruses - Global health - In-vitro - Mental disorders - Psychiatric patients - Psychotropic drugs","102.1.2 Health Science - 102.2.1 Pharmaceutics and Drug Products - 1301.1.3 Atomic and Molecular Physics",,"A61K31/135 - A61K31/19 - A61K31/343 - A61K31/4045 - A61K31/495 - A61K31/496 - A61K31/4985 - A61K31/5415 - A61K31/55 - A61K31/5513 - A61K31/554 - A61K33/00 - A61K45/06 - A61P31/14","A61K31/4045 - A61K31/495 - A61K31/496 - A61K31/4985 - A61K31/5415 - A61K31/55 - A61K31/5513 - A61K31/554 - A61K33/00 - A61P31/14 - A61K45/06 - A61K31/135 - A61K31/19 - A61K31/343 - A61K31/40 - A61K31/4545 - A61K31/465","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"METHOD AND DEVICE FOR COLOUR GRADING MEASURING AND DISPLAYING OF PHYSICO-CHEMICAL DATA","BARET, Emmanuel ","BLEU ELECTRIQUE","15173884","EP2966438","FR 14056652 07/10/2014 FR 1456652 07/10/2014 1456652 FR20140056652 ","11/07/2018","B1 - Granted patent","2966438","EP","06/25/2015","2018","Granted patent","A device for colorimetric measuring and signaling of one or several physicochemical values of a liquid medium is disclosed. This device includes: at least one sensor capable of measuring at least one physicochemical parameter of the medium; at least one light indicator designed for emitting a colored light with variable color depending on an electrical control signal; and an electronic control circuit connected to a sensor and configured to convert at least one measurement of the sensor into an electrical input signal of the indicator to cause the emission of a light with a color depending on the measurement of the physicochemical parameter.","AL - AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MK - MT - NL - NO - PL - PT - RO - RS - SE - SI - SK - SM - TR - ","Colorimetry","Color - Parameter estimation - Indicators (chemical) - Quality assurance - Power quality","Colored light - Colorimetric measurement - Colorimetric signaling - Electrical control - Liquid media - Measurement device - Measurements of - Physico - chemical parameters - Physico-chemicals - Signaling devices","741.1 Light/Optics - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products - 913.3 Quality Assurance and Control - 941.2 Optical Variables Measurements - 1201 Mathematics - 1202 Statistical Methods",,"G01N27/416 - G01N33/18","G01N27/4166 - G01N33/1893 - G08B21/18 - G01N27/416 - G08B5/36","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Molecular modeling kit","Pfeiffer, Ragen ","PFEIFFER, RAGEN","14361660","US20140370478","DE 102011120272 11/29/2011 DE 102011120272 11/29/2011 EP 2012073993 11/29/2012 102011120272.6 PCT/EP2012/073993 DE201110120272 WO2012EP73993 ","12/18/2014","A1 - Patent application (publication)","20140370478","US","11/29/2012","2014","Patent application","The invention concerns a valence-electron-model in shape of a molecular-building-set and its use for early learning and teaching purposes at schools and universities. In the molecular-building-set each electron is preferentially enabled to form a chemical bond and is represented by a radical-neutral-connecting-element, each plus-charge is represented by plus-charge-connecting-elements and each minus-charge is represented by a minus-charge-connecting-element. Free electron-pairs are represented by two electron-representations in shape of an electron-pair-representation. Binding-forces between electron-pairs and basic-atomic-body-representations are represented by electron-pair-connecting-elements and basic-atomic-body-connecting-elements. Radical-neutral-connecting-elements are in a preferred embodiment shaped as radical-neutral-plugs with C3n-rotational-symmetry. Atomic-representations of each element have an individual characteristic set of electron-representations and the above named connecting-elements, which show the characteristic chemical properties of each individual element. Therefore it is for the first time possible to understand an atom or respectively an element as a unit with all its binding properties. Lewis-formula can directly be recognized and drawn of the represented molecules.","","Atoms","Electrons - Binding energy - Covalent bonds - Teaching - Molecules - Molecular modeling - Crystal atomic structure","Body representations - Building sets - Early learning - Electron models - Electron pair - Element type - Free electron - Learning and teachings - Valence electron - Whole numbers","901.2 Education - 1301.1.3 Atomic and Molecular Physics - 1301.4.1.1 Crystal Lattice",,"G09B23/26 - G09B1/40","G09B23/24 - G09B23/26 - G09B1/40","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"METHOD FOR MODELING CYCLIC 3D EPITOPES TO BE USED IN THE DEVELOPMENT OF VACCINES","RAMBAUD, Patrick ","SYNTHETIC VACCINES","18558825","US20240233860","EP 21172344 05/05/2021 ","07/11/2024","A1 - Patent application (publication)","20240233860","US","05/05/2022","2024","Patent application","A method for modeling a cyclic 3D epitope from a surface of a target antigen including the steps of: a) identifying, in a 3D model representation of the target antigen, one or more conserved region(s) susceptible to be/constitute a 3D epitope, the one or more conserved region(s) possessing one or more charged amino acid(s) selected from the group of arginine (Arg), lysine (Lys), histidine (His), aspartic acid (Asp) and glutamic acid (Glu); b) performing molecular modeling on the one or more conserved region(s) identified in step a); c) providing a linear amino acid sequence susceptible to gather the one or more conserved region(s) in the 3D epitope; d) cyclizing in silico the linear amino acid sequence, so as to mimic the 3D epitope as it is in the target antigen; e) obtaining a modelized cyclic 3D epitope.","","Epitopes","Molecular modeling - Arginine - 3D modeling","3D models - 3d-modeling - Amino acid sequence - Aspartic acids - Charged amino acids - Conserved regions - Energy - Glutamic acid - In-silico - Model representation","804.1 Organic Compounds - 1201.12 Modeling and Simulation - 1301.1.3 Atomic and Molecular Physics",,"G16B15/20 - A61K39/00 - C07K14/005","G16B15/20 - C07K14/165 - G16B15/00 - G16B30/00 - A61K39/12 - C07K14/05 - C12N7/00 - C12N2770/20022 - C12N2770/20034","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"METHOD AND DEVICE FOR COLOUR GRADING MEASURING AND DISPLAYING OF PHYSICO-CHEMICAL DATA","BARET, Emmanuel ","BLEU ELECTRIQUE","15173884","EP2966438","FR 14056652 07/10/2014 FR 1456652 07/10/2014 1456652 FR20140056652 ","01/13/2016","A1 - Application published with search report","2966438","EP","06/25/2015","2016","Patent application","A device for colorimetric measuring and signaling of one or several physicochemical values of a liquid medium is disclosed. This device includes: at least one sensor capable of measuring at least one physicochemical parameter of the medium; at least one light indicator designed for emitting a colored light with variable color depending on an electrical control signal; and an electronic control circuit connected to a sensor and configured to convert at least one measurement of the sensor into an electrical input signal of the indicator to cause the emission of a light with a color depending on the measurement of the physicochemical parameter.L'invention concerne un dispositif de mesure et de signalisation colorimétriques d'une ou plusieurs grandeurs physico-chimiques d'un milieu liquide. Ce dispositif comprend : - au moins un capteur (1) apte à mesurer au moins un paramètre physico-chimique du milieu ; - au moins un indicateur lumineux (2) conçu pour émettre une lumière colorée avec une couleur variable en fonction d'un signal électrique de commande ; - un circuit électronique de commande (3) relié au capteur (1) et configuré pour convertir au moins une mesure du capteur en un signal électrique de pilotage de l'indicateur pour provoquer l'émission d'une lumière avec une couleur fonction de la mesure dudit paramètre physico-chimique.","AL - AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MK - MT - NL - NO - PL - PT - RO - RS - SE - SI - SK - SM - TR - ","Colorimetry","Color - Indicators (chemical) - Signaling - Parameter estimation - Source separation - Light sources - Monochromators - Energy conversion - Light emission - Electric variables measurement","Colored light - Colorimetric signaling - Control circuits - Control signal - Electrical control - Electronic control circuits - Liquid media - Measurements of - Physico - chemical parameters - Physico-chemicals","716.1 Information Theory and Signal Processing - 741.1 Light/Optics - 741.3 Optical Devices and Systems - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products - 941.2 Optical Variables Measurements - 941.3 Electric Variables Measurements - 1009.2 Energy Consumption - 1201 Mathematics - 1202 Statistical Methods - 1301.1.3.1 Spectroscopy",,"G01N27/416 - G01N33/18","G01N27/4166 - G01N33/1893 - G08B21/18 - G01N27/416 - G08B5/36","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"MOLECULAR MODELING KIT","Pfeiffer, Ragen ","PFEIFFER RAGEN","12794954","EP2786360","DE 102011120272 11/29/2011 DE 102011120272 11/29/2011 EP 2012073993 11/29/2012 102011120272 2012073993 DE201110120272 WO2012EP73993 ","10/08/2014","A1 - Application published with search report","2786360","EP","11/29/2012","2014","Patent application","The invention concerns a valence-electron-model in shape of a molecular-building-set and its use for early learning and teaching purposes at schools and universities. In the molecular-building-set each electron is preferentially enabled to form a chemical bond and is represented by a radical-neutral-connecting-element, each plus-charge is represented by plus-charge-connecting-elements and each minus-charge is represented by a minus-charge-connecting-element. Free electron-pairs are represented by two electron-representations in shape of an electron-pair-representation. Binding-forces between electron-pairs and basic-atomic-body-representations are represented by electron-pair-connecting-elements and basic-atomic-body-connecting-elements. Radical-neutral-connecting-elements are in a preferred embodiment shaped as radical-neutral-plugs with C3n-rotational-symmetry. Atomic-representations of each element have an individual characteristic set of electron-representations and the above named connecting-elements, which show the characteristic chemical properties of each individual element. Therefore it is for the first time possible to understand an atom or respectively an element as a unit with all its binding properties. Lewis-formula can directly be recognized and drawn of the represented molecules.","AL - AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MK - MT - NL - NO - PL - PT - RO - RS - SE - SI - SK - SM - TR - ","Electrons","Atoms - Binding energy - Chemical bonds - Teaching - Chemical elements","Binding forces - Body representations - Building sets - Early learning - Electron models - Electron pair - Free electron - Learning and teachings - Rotational symmetries - Valence electron","804 Chemical Products - 901.2 Education - 1301.1.3 Atomic and Molecular Physics",,"G09B23/24 - G09B23/26","G09B23/24 - G09B23/26 - G09B1/40","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"MOLECULAR MODELING KIT","PFEIFFER, Ragen; PFEIFFER RAGEN ","PFEIFFER RAGEN","EP12073993","WO2013079610","DE 102011120272 11/29/2011 DE 102011120272 11/29/2011 10 2011 120 272.6 DE201110120272 ","06/06/2013","A1 - Published application with search report","2013079610","WO","11/29/2012","2013","Patent application","Die Erfindung betrifft ein Valenzelektronenmodell in Form eines Molekülbaukastens sowie dessen Verwendung in Kindergärten als Spielzeug zum frühen Lernen und zu Lehrzwecken an Schulen und Universitäten als Molekülbaukasten. Der Molekülbaukasten zeichnet sich dadurch aus, dass vorzugsweise jedes zu einer chemischen Bindung befähigte Elektron durch ein Radikalneutral-Verbindungselement dargestellt wird, jede Plusladung mit Plusladungs-Verbindungselementen und jede Minusladung mit Minusladungs-Verbindungselementen dargestellt werden. Freie Elektronenpaare werden als Paar von zwei Elektronendarstellungen in Form einer Elektronenpaardarstellung dargestellt. Bindungskräfte zwischen Elektronenpaaren und Atomgrundkörpern werden durch Elektronenpaar-Verbindungselemente und Atomgrundkörper-Verbindungselemente dargestellt. Die Radikalneutralverbindungselemente sind in einer bevorzugten Ausführungsform als Radikalneutralstecker mit einer C3n-Drehsymmetrie ausgestaltet. Atomdarstellungen eines jeden Elements haben dann einen individuellen charakteristischen Satz an Elektronendarstellungen und den oben genannten Verbindungselementen, an denen sich die charakteristischen chemischen Eigenschaften eines jeden Elementes festmachen.The invention relates to a valence electron model in the form of a molecular modeling kit and to the use thereof in kindergartens as a toy for early learning and for learning purposes at schools and universities as a molecular modeling kit. A feature of the molecular modeling kit is that preferably every electron capable of a chemical bond is represented by a radical neutral connecting element, every plus charge is represented by plus charge connecting elements and every minus charge is represented by minus charge connecting elements. Free electron pairs are represented as a pair of two electron representations in the form of an electron pair representation. Binding forces between electron pairs and atom nuclei are represented by electron pair connecting elements and atom nucleus connecting elements. The radial neutral connecting elements, in a preferred embodiment, are configured as radical neutral plugs having a C3n rotational symmetry. Atom representations of each and every element then have an individual characteristic set of electron representations and the abovementioned connecting elements, by which the characteristic chemical properties of each and every element are identified.La présente invention concerne un modèle des électrons de valence sous la forme d'un jeu de construction moléculaire ainsi que son utilisation dans des écoles maternelles en tant que jouet pour l'apprentissage précoce et à des fins d'apprentissage dans des écoles et universités en tant que jeu de construction moléculaire. Ledit jeu de construction moléculaire se caractérise par le fait que de préférence chaque électron disponible pour une liaison chimique est représenté par un élément de liaison de radical neutre, que chaque charge positive est représentée par des éléments de liaison de charge positive et que chaque charge négative est représentée par des éléments de liaison de charge négative. Des paires d'électrons libres sont représentées en tant que paire de deux représentations d'électrons sous la forme d'une représentation de paire d'électrons. Les forces de liaison entre les paires d'électrons et des corps de base d'atome sont représentées par des éléments de liaison de paires d'électrons et des éléments de liaison de corps de base d'atome. Dans une forme de réalisation privilégiée, les éléments de jonction de radical neutre sont conçus sous la forme d'un connecteur de radical neutre avec une symétrie de rotation C3n. Les représentations d'atome de chaque élément ont alors un ensemble caractéristique individuel de représentations d'électrons et d'éléments de liaison susmentionnés, auxquels se fixent les propriétés chimiques caractéristiques de chaque élément.","AL - AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MK - MT - NL - NO - PL - PT - RO - RS - SE - SI - SK - SM - TR - ","Molecular modeling","Electrons - Patents and inventions - Atoms - Poles - Molecular structure - Plants (botany) - Vehicles","Atom nuclei - Binding forces - Early learning - Electron models - Electron pair - Free electron - Valence electron - Vehicle combinations - Vehicle types - Whole numbers","103 Biology - 801.3 Physical Chemistry - 902.3 Legal Aspects - 1301.1.3 Atomic and Molecular Physics",,"G09B23/24 - G09B23/26","G09B23/24 - G09B23/26 - G09B1/40","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"METHOD AND SOFTWARE FOR EXTRACTING CHEMICAL DATA","Lawson, Alexander Johwston; Roller, Stefan; Grotz, Helmut; Wisniewski, Janusz L.; Goebels, Libuse ","MDL INFORMATION SYSTEMS","13075350","US20110202331","US 201113075350 03/30/2011 US 83637404 04/30/2004 10836374 US201113075350 US20040836374 ","08/18/2011","A1 - Patent application (publication)","20110202331","US","03/30/2011","2011","Patent application","Preferred embodiments of the present invention comprise methods and software for processing text documents and extracting chemical data therein. Preferred method embodiments comprise: (a) identifying and tagging one or more chemical compounds within a text document; (b) identifying and tagging physical properties related to one or more of those compounds; (c) translating one or more of those compounds into a chemical structure; (d) identifying and tagging one or more chemical reaction descriptions within the text document; and (e) extracting at least some of the tagged information and storing it in a database.","","Structure (composition)","Physical properties - Chemical compounds - Chemical reactions - Information retrieval systems - Text processing - Information retrieval","Chemical data - Connection table - Molecular formulae - Property - Text document","214 Materials Science - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 903.1 Information Sources and Analysis - 903.3 Information Retrieval and Use - 1106.2 Data Handling and Data Processing - 1301.1.2 Physical Properties of Gases, Liquids and Solids",,"G06F17/30 - G06F17/28","G16C20/70","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
